;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
77;Jeremías Ledesma;ar ARG;GK;Cádiz;es La Liga;30-027;1993;25;25;2250;25.0;1.48;1.48;5.44;4.00;77.9;0.24;0.36;0.40;0.36;36.0;0.32;0.28;0.04;0.00;12.5;Matches;6c4776b1
78;Bernd Leno;de GER;GK;Fulham;eng Premier League;31-008;1992;24;24;2160;24.0;1.33;1.33;5.29;3.96;78.0;0.46;0.17;0.38;0.29;29.2;0.17;0.17;0.00;0.00;0.0;Matches;2628fd2b
79;Benjamin Leroy;fr FRA;GK;Ajaccio;fr Ligue 1;33-339;1989;23;23;1988;22.1;1.86;1.86;4.21;2.35;61.3;0.23;0.14;0.68;0.09;8.7;0.27;0.23;0.00;0.05;0.0;Matches;1e7aea56
80;Mateusz Lis;pl POL;GK;Troyes;fr Ligue 1;26-013;1997;7;7;630;7.0;2.00;2.00;6.57;4.43;73.9;0.14;0.43;0.43;0.14;14.3;0.43;0.29;0.14;0.00;33.3;Matches;fd78b105
81;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;36-076;1986;21;21;1890;21.0;1.38;1.38;4.52;3.19;70.5;0.57;0.10;0.33;0.33;33.3;0.05;0.05;0.00;0.00;0.0;Matches;8f62b6ee
82;Anthony Lopes;pt POR;GK;Lyon;fr Ligue 1;32-162;1990;22;22;1916;21.3;1.13;1.13;3.76;2.63;75.0;0.42;0.19;0.42;0.23;22.7;0.19;0.19;0.00;0.00;0.0;Matches;f00de885
83;Diego López;es ESP;GK;Rayo Vallecano;es La Liga;41-129;1981;1;1;90;1.0;3.00;3.00;4.00;1.00;25.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;73683fa9
84;Pau López;es ESP;GK;Marseille;fr Ligue 1;28-089;1994;22;22;1980;22.0;0.91;0.91;3.82;2.95;81.0;0.73;0.09;0.18;0.41;40.9;0.18;0.18;0.00;0.00;0.0;Matches;20b9f052
85;Andriy Lunin;ua UKR;GK;Real Madrid;es La Liga;24-029;1999;6;6;540;6.0;0.50;0.50;2.17;1.83;76.9;0.67;0.17;0.17;0.50;50.0;0.00;0.00;0.00;0.00;;Matches;3061e1ec
86;Andrey Lunyov;ru RUS;GK;Leverkusen;de Bundesliga;31-119;1991;1;1;90;1.0;2.00;2.00;4.00;2.00;50.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;8a6ab963
